"","File with ten worksheets.  All worksheets have tables with row headers in column A and column headers in rows 5 through 6.","","","","","","","","",""
"40","32","1755000","881000","874000","1584000","800000","784000","171000","81000","90000"
"41","33","1721000","869000","852000","1556000","790000","766000","165000","79000","86000"
"42","34","1688000","859000","829000","1527000","781000","746000","161000","78000","83000"
"43","35","1654000","848000","806000","1497000","771000","726000","157000","77000","80000"
"44","36","1615000","834000","781000","1464000","759000","705000","151000","75000","76000"
"45","37","1582000","822000","760000","1433000","747000","686000","149000","75000","74000"
"46","38","1552000","809000","743000","1406000","735000","671000","146000","74000","72000"
"47","39","1526000","796000","730000","1380000","722000","658000","146000","74000","72000"
"48","40","1499000","782000","717000","1353000","708000","645000","146000","74000","72000"
"49","41","1473000","769000","704000","1327000","695000","632000","146000","74000","72000"
"50","42","1439000","751000","688000","1295000","678000","617000","144000","73000","71000"
"51","43","1391000","726000","665000","1253000","655000","598000","138000","71000","67000"
"52","44","1335000","696000","639000","1205000","628000","577000","130000","68000","62000"
"53","45","1281000","667000","614000","1158000","602000","556000","123000","65000","58000"
"54","46","1224000","636000","588000","1109000","574000","535000","115000","62000","53000"
"55","47","1176000","612000","564000","1067000","552000","515000","109000","60000","49000"
"56","48","1142000","597000","545000","1038000","539000","499000","104000","58000","46000"
"57","49","1118000","589000","529000","1017000","532000","485000","101000","57000","44000"
"58","50","1092000","580000","512000","994000","524000","470000","98000","56000","42000"
"59","51","1066000","571000","495000","972000","516000","456000","94000","55000","39000"
"60","52","1034000","557000","477000","944000","504000","440000","90000","53000","37000"
"61","53","992000","534000","458000","907000","484000","423000","85000","50000","35000"
"62","54","943000","505000","438000","864000","459000","405000","79000","46000","33000"
"63","55","896000","478000","418000","823000","436000","387000","73000","42000","31000"
"64","56","850000","451000","399000","782000","412000","370000","68000","39000","29000"
"65","57","805000","425000","380000","743000","390000","353000","62000","35000","27000"
"66","58","765000","402000","363000","708000","370000","338000","57000","32000","25000"
"67","59","729000","382000","347000","676000","352000","324000","53000","30000","23000"
"68","60","692000","361000","331000","644000","334000","310000","48000","27000","21000"
"69","61","655000","340000","315000","612000","316000","296000","43000","24000","19000"
"70","62","621000","321000","300000","581000","299000","282000","40000","22000","18000"
"71","63","590000","305000","285000","552000","284000","268000","38000","21000","17000"
"72","64","562000","291000","271000","526000","271000","255000","36000","20000","16000"
"73","65","532000","276000","256000","498000","257000","241000","34000","19000","15000"
"74","66","503000","261000","242000","471000","243000","228000","32000","18000","14000"
"75","67","473000","246000","227000","443000","229000","214000","30000","17000","13000"
"76","68","443000","230000","213000","414000","214000","200000","29000","16000","13000"
"77","69","411000","213000","198000","384000","198000","186000","27000","15000","12000"
"78","70","377000","195000","182000","352000","181000","171000","25000","14000","11000"
"79","71","342000","176000","166000","319000","163000","156000","23000","13000","10000"
"80","72","303000","154000","149000","283000","143000","140000","20000","11000","9000"
"81","73","263000","131000","132000","246000","122000","124000","17000","9000","8000"
"82","74","218000","105000","113000","204000","98000","106000","14000","7000","7000"
"83","75+","1546000","738000","808000","1433000","683000","750000","113000","55000","58000"
"84","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"85","Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"87","The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"89","The worksheets for 1930-1939 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"90","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"91","The worksheets for 1940-1949 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years exclude the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"92","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"93","The worksheets for 1950-1959 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years include the population residing in Alaska and Hawaii.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"94","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"95","The worksheets for 1960-1979 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Black, and Other races), and sex.","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"96","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"97","Source:  U.S. Census Bureau, Population Division","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"98","Internet Release date:  October 1, 2004","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"99","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
